,Base,UB
1B,88464.26,84774.50
4B,76522.80,67535.62
16B,86640.10,68511.92
64B,84717.05,68587.11
256B,84774.50,72432.27
1KiB,86550.11,81333.88
4KiB,79719.39,79674.93
16KiB,55355.66,56075.81
