,Base,UB
1B,90587.92,86632.59
4B,78143.31,75137.12
16B,90358.72,67435.43
64B,86640.10,76628.35
256B,88479.91,72353.66
1KiB,84803.26,69778.80
4KiB,83001.33,72385.09
16KiB,42354.93,72442.77
