,Base,UB
1B,9263.03,9859.50
4B,9863.20,9136.59
16B,8930.72,8296.83
64B,8832.91,8584.65
256B,7630.15,6961.46
1KiB,4052.18,4150.45
4KiB,1193.31,1166.70
16KiB,331.97,275.74
